Detected (True/False):         Color:                                             Runtime [s]:  
True                           ['yellow']                                         0.082612   
True                           ['yellow']                                         0.082887   
True                           ['yellow']                                         0.083704   
True                           ['yellow']                                         0.082424   
True                           ['yellow']                                         0.082775   
True                           ['yellow']                                         0.118005   
True                           ['yellow']                                         0.162467   
True                           ['yellow']                                         0.164111   
True                           ['yellow']                                         0.162795   
True                           ['yellow']                                         0.164574   
True                           ['yellow']                                         0.180883   
True                           ['yellow']                                         0.165528   
True                           ['yellow']                                         0.161370   
True                           ['yellow']                                         0.162352   
True                           ['yellow']                                         0.162669   
True                           ['yellow']                                         0.162406   
True                           ['yellow']                                         0.161906   
True                           ['yellow']                                         0.161871   
True                           ['yellow']                                         0.161248   
True                           ['yellow']                                         0.162035   
True                           ['yellow']                                         0.177031   
True                           ['yellow']                                         0.164463   
True                           ['yellow']                                         0.082843   
True                           ['yellow']                                         0.082293   
True                           ['yellow']                                         0.088691   
True                           ['yellow']                                         0.081987   
True                           ['yellow']                                         0.084201   
True                           ['yellow']                                         0.116503   
True                           ['yellow']                                         0.083721   
True                           ['yellow']                                         0.083436   
True                           ['yellow']                                         0.083079   
True                           ['yellow']                                         0.082975   
True                           ['yellow']                                         0.083100   
True                           ['yellow']                                         0.083291   
True                           ['yellow']                                         0.083197   
True                           ['yellow']                                         0.084799   
True                           ['yellow']                                         0.084623   
True                           ['yellow']                                         0.169154   
True                           ['yellow']                                         0.166622   
True                           ['yellow']                                         0.167987   
True                           ['yellow']                                         0.167434   
True                           ['yellow']                                         0.168542   
True                           ['yellow']                                         0.168595   
True                           ['yellow']                                         0.166753   
True                           ['yellow']                                         0.179420   
True                           ['yellow']                                         0.167509   
True                           ['yellow']                                         0.168939   
True                           ['yellow']                                         0.167120   
True                           ['yellow']                                         0.168328   
False                          []                                                 0.114976   
False                          []                                                 0.110970   
False                          []                                                 0.110968   
False                          []                                                 0.111217   
False                          []                                                 0.092293   
False                          []                                                 0.055986   
False                          []                                                 0.055885   
False                          []                                                 0.056180   
False                          []                                                 0.055902   
False                          []                                                 0.056195   
False                          []                                                 0.110722   
False                          []                                                 0.111024   
False                          []                                                 0.110807   
False                          []                                                 0.111189   
False                          []                                                 0.110990   
False                          []                                                 0.111091   
False                          []                                                 0.111361   
